CERT,NAME,CITY,STALP,ZIP,ADDRESS,website,asset_band,asset_musd,fed_regulator,state_regulator,n_signals,score,signals,service_lines,EQV,EQV_pct,RBC1AAJ,RBCT1CER,ROA,ROA_pct,ROE,NIMY,EEFFR,EEFFR_pct,NCLNLSR,NPERFV,ELNANTR,LNLSDEPR,brokered_pct,asset_growth_yoy,cre_ratio,cd_ratio,cre_breach_loss_pct,uninsured_pct,LNAGR
1008,Bank Michigan,Brooklyn,MI,49230,417 S Main St,https://www.bankmichigan.bank,<$250M,176.0,Federal Reserve,Michigan Department of Insurance and Financial Services,5,87,weak_efficiency; funding_liquidity; rapid_growth; bsa_aml_scaling; pre_enforcement,"KR RAS: Robotic Process Automation (RPA) + Internal Audit process review; KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice; KR RAS: BSA/AML scaling, Internal Audit, enterprise risk assessment; FDICIA Part 363 audit if crossing $1B, ICFR if crossing $5B; KR RAS: BSA/AML program enhancement + independent testing (AML & Sanctions / OFAC); KR RAS: PRE-ENFORCEMENT READINESS — risk assessment, Internal Audit, BSA/AML & remediation-readiness before regulators act",11.009,0.471,11.255,12.69,0.671,0.243,5.73,4.561,83.612,0.833,1.028,1.157,0.0,97.75,0.081,0.335,274.433,18.927,10.161,0.187,0.047
10101,The Napoleon State Bank,Napoleon,IN,47034,8912 N Us Highway 421,https://www.napoleonstatebank.com,$250M-$1B,499.2,FDIC,Indiana Department of Financial Institutions,0,0,,,11.065,0.652,11.066,,1.466,0.615,13.5,4.418,55.346,0.311,1.102,0.833,564.706,81.847,0.0,0.045,41.353,40.617,241.818,0.16,5.797
10111,Ohnward Bank & Trust,Cascade,IA,52033,332 1st Ave W,https://www.ohnwardbank.bank,$250M-$1B,499.1,FDIC,Iowa Division of Banking,1,12,ag_concentration,KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles,12.136,0.76,12.578,,1.389,0.564,11.47,4.003,54.64,0.291,0.6,0.471,1269.231,92.922,0.001,0.086,145.565,47.232,68.698,0.336,12.489
10118,Leighton State Bank,Pella,IA,50219,900 Washington St,https://www.leightonbank.com,$250M-$1B,298.2,FDIC,Iowa Division of Banking,0,0,,,11.448,0.695,10.993,,1.8,0.796,15.86,3.731,58.088,0.396,0.788,0.585,947.368,86.308,0.0,0.069,60.248,26.584,165.98,0.201,9.998
10120,American Trust and Savings Bank,Lowden,IA,52255,309 Mckinley Ave,https://www.atsb-lowden.com,<$250M,27.8,FDIC,Iowa Division of Banking,5,72,credit_deterioration; under_reserved; weak_efficiency; weak_profitability; pre_enforcement,"KR RAS: Internal Audit loan review + CECL model validation + ALLL/CECL governance; KR RAS: CECL model validation / reserve adequacy review; KR RAS: Robotic Process Automation (RPA) + Internal Audit process review; Refer: earnings / margin advisory (other KR practice); RAS angle = cost automation via RPA; KR RAS: PRE-ENFORCEMENT READINESS — risk assessment, Internal Audit, BSA/AML & remediation-readiness before regulators act",12.548,0.624,15.65,39.96,-1.015,0.033,-8.24,1.588,164.629,0.983,30.065,6.123,0.0,22.708,0.043,-0.162,0.899,0.0,8425.227,0.176,9.837
10121,Liberty Trust & Savings Bank,Durant,IA,52747,502 8th Ave,https://www.mylibertytrust.com,<$250M,186.2,FDIC,Iowa Division of Banking,1,5,excess_capital,Refer: capital deployment / M&A (other KR practice); RAS angle = M&A compliance due diligence,19.205,0.909,20.653,,1.593,0.748,8.36,3.592,47.56,0.095,0.859,0.492,0.0,70.463,0.0,0.05,12.083,7.801,827.607,0.247,12.436
10122,Farmers Savings Bank & Trust,Traer,IA,50675,611 2nd St,https://www.fsb-traer.com,<$250M,212.7,FDIC,Iowa Division of Banking,0,0,,,7.012,0.059,10.252,18.51,1.331,0.623,19.48,3.465,60.646,0.357,0.0,0.0,166.667,59.341,0.0,-0.013,21.916,6.719,217.27,0.149,13.068
10125,Citizens Savings Bank,Anamosa,IA,52205,215 E Main St,https://www.citizensbankia.com,<$250M,165.9,FDIC,Iowa Division of Banking,0,0,,,7.793,0.099,9.502,17.57,1.015,0.417,13.41,2.974,63.9,0.438,0.0,0.0,0.0,45.364,0.0,0.069,28.572,16.511,159.415,0.277,7.969
10127,Success Bank,Bloomfield,IA,52537,109 N Madison St,https://www.success.bank,$250M-$1B,277.1,FDIC,Iowa Division of Banking,0,0,,,11.866,0.74,12.219,,1.673,0.735,13.89,4.19,57.716,0.386,0.332,0.25,445.455,87.458,0.009,0.045,4.568,4.568,2189.226,0.292,7.398
10132,Exchange State Bank,Ames,IA,50010,823 Wheeler St,https://www.esb1.com,<$250M,146.0,FDIC,Iowa Division of Banking,2,22,funding_liquidity; ag_concentration,KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice; KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles,10.687,0.432,11.169,,1.975,0.873,19.16,3.832,43.27,0.053,0.996,0.836,0.0,103.381,0.043,0.058,104.311,20.709,95.868,0.249,16.105
10137,The Commercial Bank of Grayson,Grayson,KY,41143,208 E Main St,https://cbgrayson.com,<$250M,242.0,FDIC,Kentucky Department of Financial Institutions,1,18,credit_deterioration,KR RAS: Internal Audit loan review + CECL model validation + ALLL/CECL governance,10.213,0.378,11.013,17.6,0.977,0.397,9.51,4.447,71.824,0.64,3.028,1.973,126.582,72.195,0.0,0.008,155.414,20.812,30.212,0.115,0.295
1014,ChoiceOne Bank,Sparta,MI,49345,109 E Division St,https://WWW.CHOICEONE.BANK,$3B+,4453.6,Federal Reserve,Michigan Department of Insurance and Financial Services,2,42,near_fdicia_5b; thin_cre_cushion,"KR RAS: FDICIA Part 363 ICFR management assessment + auditor attestation (crossing $5B; threshold raised from $1B, effective 2026); KR RAS: CRE stress testing + capital planning — reverse stress test shows a modest CRE loss breaches well-capitalized",11.666,0.675,9.297,11.81,1.237,0.396,10.68,3.75,55.176,0.491,1.004,0.736,151.934,84.275,0.026,0.034,256.87,23.52,8.787,0.33,0.434
10145,Hart County Bank and Trust Company,Munfordville,KY,42765,331 Main St,,<$250M,24.1,FDIC,Kentucky Department of Financial Institutions,2,15,excess_capital; funding_liquidity,Refer: capital deployment / M&A (other KR practice); RAS angle = M&A compliance due diligence; KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice,32.966,0.973,34.31,39.24,2.508,0.957,7.81,5.004,47.636,0.096,0.0,0.0,0.0,112.716,0.0,-0.019,76.785,0.0,98.106,0.103,0.021
10157,The Shelby State Bank,Shelby,MI,49455,242 N Michigan Ave,https://www.shelbybank.com,$250M-$1B,397.0,FDIC,Michigan Department of Insurance and Financial Services,0,0,,,8.074,0.142,9.063,13.75,0.896,0.268,11.05,3.775,73.125,0.784,0.008,0.074,416.667,63.628,0.0,0.089,221.236,39.652,14.547,0.164,1.873
10159,First State Bank and Trust,Bayport,MN,55003,950 Highway 95 N,https://www.fsbt.com,$250M-$1B,499.0,FDIC,Minnesota Department of Commerce,2,40,rapid_growth; high_uninsured_deposits,"KR RAS: BSA/AML scaling, Internal Audit, enterprise risk assessment; FDICIA Part 363 audit if crossing $1B, ICFR if crossing $5B; KR RAS: liquidity/funding risk assessment + Internal Audit — deposit base concentrated in uninsured accounts (the SVB/Signature/First Republic profile)",8.059,0.141,8.915,13.56,1.773,0.783,21.72,3.548,66.4,0.646,0.031,0.02,0.0,71.563,0.011,0.198,208.084,63.088,15.611,0.442,0.0
10160,VersaBank USA National Association,Holdingford,MN,56340,580 Main St,https://www.versabankusa.com,$250M-$1B,911.9,OCC,N/A (federally chartered),5,71,excess_capital; funding_liquidity; rapid_growth; near_fdicia_1b; bsa_aml_scaling,"Refer: capital deployment / M&A (other KR practice); RAS angle = M&A compliance due diligence; KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice; KR RAS: BSA/AML scaling, Internal Audit, enterprise risk assessment; FDICIA Part 363 audit if crossing $1B, ICFR if crossing $5B; KR RAS: FDICIA Part 363 annual independent audit + audit-committee independence (crossing $1B; threshold raised from $500M, effective 2026); KR RAS: BSA/AML program enhancement + independent testing (AML & Sanctions / OFAC)",20.578,0.973,22.456,30.43,1.232,0.471,5.42,2.955,41.991,0.062,0.103,0.065,-1671.429,85.438,1.0,3.33,0.0,0.0,,0.0,0.0
10162,First State Bank Minnesota,Le Roy,MN,55951,102 W Main St,https://www.fsbminnesota.com,<$250M,105.9,FDIC,Minnesota Department of Commerce,1,12,ag_concentration,KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles,11.366,0.516,11.432,,1.941,0.867,17.64,4.631,51.523,0.156,0.805,0.661,0.0,92.721,0.033,0.083,49.761,27.589,200.961,0.158,28.256
10163,Security State Bank of Marine,Marine On St. Croix,MN,55047,120 Judd St,https://www.themarinebank.com,<$250M,232.5,FDIC,Minnesota Department of Commerce,0,0,,,10.794,0.442,10.869,15.08,2.369,0.945,22.08,4.519,42.496,0.047,0.129,0.099,264.706,85.912,0.0,0.03,140.03,54.786,27.696,0.165,0.009
10165,Farmers and Merchants State Bank of Pierz,Pierz,MN,56364,80 Main St N,https://www.fmpierz.com,$250M-$1B,336.2,FDIC,Minnesota Department of Commerce,1,12,ag_concentration,KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles,6.987,0.058,9.281,,1.735,0.767,24.32,4.895,58.232,0.404,1.027,0.675,75.41,70.743,0.0,0.046,74.228,2.035,134.719,0.127,11.65
10167,Citizens State Bank of Roseau,Roseau,MN,56751,118 Main Ave S,https://www.citizensros.com,$250M-$1B,290.9,FDIC,Minnesota Department of Commerce,1,12,ag_concentration,KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles,11.893,0.742,13.301,,1.543,0.662,12.99,3.382,53.289,0.255,0.533,0.309,82.014,67.268,0.0,0.044,40.913,17.47,244.42,0.172,10.417
10168,First Farmers & Merchants Bank,Cannon Falls,MN,55009,920 4th St S,https://www.ffmbank.com,$250M-$1B,486.4,FDIC,Minnesota Department of Commerce,0,0,,,9.658,0.407,10.093,14.04,1.36,0.546,14.72,4.142,48.867,0.16,0.008,0.005,0.0,70.267,0.0,0.048,109.942,19.34,30.041,0.246,7.704
10169,Sherburne State Bank,Becker,MN,55308,12500 Sherburne Avenue,https://www.sherburnestatebank.com,$250M-$1B,351.1,FDIC,Minnesota Department of Commerce,2,42,cd_concentration; thin_cre_cushion,KR RAS: construction & development loan review + credit risk management (>=100% of capital — supervisory concentration criteria); KR RAS: CRE stress testing + capital planning — reverse stress test shows a modest CRE loss breaches well-capitalized,8.727,0.23,9.456,10.24,2.014,0.868,23.58,4.735,43.946,0.081,0.022,0.018,0.0,95.192,0.021,0.141,233.893,106.452,5.56,0.17,0.009
10174,Farmers State Bank of Underwood,Underwood,MN,56586,110 Main St S,https://www.farmerstbank.com,<$250M,113.8,FDIC,Minnesota Department of Commerce,0,0,,,7.898,0.109,8.617,11.53,1.664,0.777,21.32,4.774,60.796,0.361,0.032,0.024,285.714,81.471,0.0,0.049,192.126,37.692,11.331,0.22,8.201
10175,Security State Bank of Hibbing,Hibbing,MN,55746,701 E Howard St,https://www.ssbhibbing.com,<$250M,151.9,FDIC,Minnesota Department of Commerce,0,0,,,9.247,0.244,11.645,15.58,1.073,0.463,11.6,4.558,68.186,0.556,1.544,1.008,19.558,75.195,0.038,0.01,69.741,15.542,58.202,0.221,0.0
10178,Produce State Bank,Hollandale,MN,56045,109 Park Ave W,https://www.producestatebank.com,<$250M,107.2,FDIC,Minnesota Department of Commerce,0,0,,,11.106,0.481,10.329,,1.315,0.613,12.13,4.542,63.72,0.43,1.261,0.704,0.0,62.591,0.0,0.004,77.627,0.0,128.822,0.098,7.296
10185,Elysian Bank,Elysian,MN,56028,121 Main St E,https://www.elysianbank.net,<$250M,76.0,FDIC,Minnesota Department of Commerce,0,0,,,12.2,0.603,12.248,14.61,1.896,0.853,15.97,5.121,56.526,0.258,0.743,0.573,2000.0,86.917,0.0,0.102,162.352,12.298,22.711,0.217,4.0
10187,The Northern State Bank of Gonvick,Gonvick,MN,56644,283 Main St,https://www.nsbgonvick.com,<$250M,50.6,FDIC,Minnesota Department of Commerce,1,5,excess_capital,Refer: capital deployment / M&A (other KR practice); RAS angle = M&A compliance due diligence,16.02,0.843,15.746,46.18,1.554,0.731,10.26,3.179,46.627,0.085,0.998,0.382,0.0,44.351,0.0,0.006,9.542,1.963,827.182,0.237,5.689
10191,PrinsBank,Prinsburg,MN,56281,508 3rd St,https://www.prinsbank.com,$250M-$1B,308.3,FDIC,Minnesota Department of Commerce,2,38,rapid_growth; bsa_aml_scaling,"KR RAS: BSA/AML scaling, Internal Audit, enterprise risk assessment; FDICIA Part 363 audit if crossing $1B, ICFR if crossing $5B; KR RAS: BSA/AML program enhancement + independent testing (AML & Sanctions / OFAC)",12.229,0.771,11.993,17.59,2.992,0.978,25.22,4.421,56.231,0.335,0.294,0.18,-1223.333,68.023,0.0,0.393,157.028,12.498,29.965,0.29,4.619
10194,Pine River State Bank,Pine River,MN,56474,103 Mill St,https://www.pineriverstatebank.com,<$250M,185.3,FDIC,Minnesota Department of Commerce,0,0,,,8.166,0.13,8.477,16.36,0.917,0.372,11.27,3.708,74.89,0.698,0.742,0.585,0.0,62.155,0.0,0.035,143.986,66.066,30.015,0.132,1.583
10197,Hometown Community Bank,Cyrus,MN,56323,100 E Main St,https://www.hcbmn.com,<$250M,105.7,FDIC,Minnesota Department of Commerce,3,38,credit_deterioration; under_reserved; funding_liquidity,KR RAS: Internal Audit loan review + CECL model validation + ALLL/CECL governance; KR RAS: CECL model validation / reserve adequacy review; KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice,8.982,0.221,9.091,,1.837,0.835,20.77,3.8,47.454,0.095,1.78,1.532,0.0,99.15,0.0,0.077,221.219,45.263,45.204,0.104,8.282
10200,State Bank of Jeffers,Jeffers,MN,56145,104 E Whited St,https://statebankofjeffers.com,<$250M,37.1,FDIC,Minnesota Department of Commerce,1,12,ag_concentration,KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles,14.74,0.783,14.062,20.98,2.241,0.927,16.27,4.517,38.706,0.026,0.0,0.0,0.0,60.349,0.0,-0.003,0.0,0.0,,0.052,26.983
10202,Lowry State Bank,Lowry,MN,56349,400 Florence Ave,https://www.lowrystate.bank,<$250M,84.1,FDIC,Minnesota Department of Commerce,2,28,credit_deterioration; funding_liquidity,KR RAS: Internal Audit loan review + CECL model validation + ALLL/CECL governance; KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice,9.794,0.318,9.583,12.06,1.282,0.593,13.44,4.339,58.427,0.304,3.177,3.142,189.916,109.626,0.0,0.02,173.895,61.766,14.315,0.184,9.98
10212,Commerce Bank,Geneva,MN,56035,101 Central Ave S,https://www.cbmn.bank,<$250M,220.0,FDIC,Minnesota Department of Commerce,1,10,funding_liquidity,KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice,13.237,0.686,13.871,17.11,1.305,0.607,10.18,2.994,50.785,0.143,0.603,0.513,0.0,117.298,0.37,-0.106,281.732,8.119,16.173,0.153,3.475
10214,Vermillion State Bank,Vermillion,MN,55085,107 Main St E,https://WWW.VERMILLIONBANK.COM,$250M-$1B,931.4,FDIC,Minnesota Department of Commerce,2,23,excess_capital; near_fdicia_1b,"Refer: capital deployment / M&A (other KR practice); RAS angle = M&A compliance due diligence; KR RAS: FDICIA Part 363 annual independent audit + audit-committee independence (crossing $1B; threshold raised from $500M, effective 2026)",13.05,0.825,13.401,,2.556,0.956,19.79,3.258,23.226,0.005,0.24,0.197,0.0,51.721,0.0,0.053,18.941,2.531,527.965,0.301,2.219
10218,Citizens Bank & Trust Co.,Hutchinson,MN,55350,102 Main St S,https://www.cbhutch.com,$250M-$1B,329.0,FDIC,Minnesota Department of Commerce,0,0,,,4.983,0.008,8.633,13.96,1.21,0.459,23.81,3.189,62.428,0.533,0.257,0.197,-5.263,55.249,0.0,-0.03,26.921,1.398,125.039,0.298,3.95
1022,"Clare Bank, National Association",Platteville,WI,53818,345 W Pine St,https://www.clarebank.com,$250M-$1B,332.5,OCC,N/A (federally chartered),0,0,,,9.356,0.348,11.64,24.17,1.034,0.345,11.58,2.431,56.949,0.357,0.853,0.454,0.0,63.867,0.0,0.036,63.182,31.904,94.223,0.224,1.723
10236,The Goose River Bank,Mayville,ND,58257,44 Main St W,https://www.gooseriverbank.com,<$250M,173.4,FDIC,North Dakota Department of Financial Institutions,1,12,ag_concentration,KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles,11.364,0.514,11.477,,1.201,0.544,10.83,4.339,70.473,0.608,1.709,1.285,6700.0,87.66,0.068,0.009,52.05,0.0,192.123,0.17,22.846
10243,First State Bank of Golva,Golva,ND,58632,410 Terrell Ave,https://fsbofgolva.com,<$250M,123.5,FDIC,North Dakota Department of Financial Institutions,4,62,credit_deterioration; under_reserved; high_uninsured_deposits; ag_concentration,KR RAS: Internal Audit loan review + CECL model validation + ALLL/CECL governance; KR RAS: CECL model validation / reserve adequacy review; KR RAS: liquidity/funding risk assessment + Internal Audit — deposit base concentrated in uninsured accounts (the SVB/Signature/First Republic profile); KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles,6.008,0.029,9.015,15.38,2.29,0.933,36.0,3.934,40.474,0.034,2.513,1.082,0.0,47.934,0.0,0.081,21.886,0.0,176.584,0.316,17.89
10248,First International Bank & Trust,Watford City,ND,58854,100 N Main St,https://www.fibt.com,$3B+,6175.4,FDIC,North Dakota Department of Financial Institutions,3,55,credit_deterioration; weak_efficiency; thin_cre_cushion,KR RAS: Internal Audit loan review + CECL model validation + ALLL/CECL governance; KR RAS: Robotic Process Automation (RPA) + Internal Audit process review; KR RAS: CRE stress testing + capital planning — reverse stress test shows a modest CRE loss breaches well-capitalized,8.383,0.12,9.056,10.68,1.219,0.375,14.47,4.055,70.419,0.873,1.537,1.464,102.426,90.382,0.001,0.124,273.432,88.122,5.341,0.388,4.649
10250,Peoples State Bank of Velva,Velva,ND,58790,101 Main St N,https://www.psbvelva.com,<$250M,210.0,FDIC,North Dakota Department of Financial Institutions,3,50,rapid_growth; bsa_aml_scaling; ag_concentration,"KR RAS: BSA/AML scaling, Internal Audit, enterprise risk assessment; FDICIA Part 363 audit if crossing $1B, ICFR if crossing $5B; KR RAS: BSA/AML program enhancement + independent testing (AML & Sanctions / OFAC); KR RAS: agricultural loan review + credit risk review — concentration exposed to commodity-price / farm-income cycles",8.829,0.201,9.31,12.27,1.583,0.744,17.98,3.82,56.798,0.264,0.103,0.075,840.0,81.753,0.077,0.2,108.566,32.296,23.91,0.271,21.583
10253,First Security Bank - West,Beulah,ND,58523,100 E Main St,https://www.firstsecuritybanks.com,<$250M,75.2,FDIC,North Dakota Department of Financial Institutions,1,18,credit_deterioration,KR RAS: Internal Audit loan review + CECL model validation + ALLL/CECL governance,11.369,0.516,12.873,45.99,0.776,0.299,6.79,3.397,72.541,0.656,4.645,1.33,4900.0,31.967,0.0,0.076,69.55,0.0,113.337,0.256,2.235
10255,The Old Fort Banking Company,Old Fort,OH,44861,8034 Main St,https://www.oldfortbank.com,$250M-$1B,843.9,FDIC,Ohio Division of Financial Institutions,0,0,,,6.787,0.049,8.892,15.16,1.444,0.601,21.26,3.032,56.91,0.356,0.2,0.115,635.294,61.341,0.0,-0.014,150.389,25.037,25.448,0.336,0.094
10266,The Citizens Bank Company,Beverly,OH,45715,501 5th St,https://www.thecitizens.com,$250M-$1B,334.6,FDIC,Ohio Division of Financial Institutions,0,0,,,12.478,0.792,13.556,,1.458,0.611,11.96,3.737,59.903,0.455,0.386,0.221,364.286,63.78,0.026,0.007,83.303,35.566,120.044,0.245,0.376
1027,Fm Bank And Trust,Blytheville,AR,72315,400 W Main St,https://www.myfm.bank,$1B-$3B,1363.8,Federal Reserve,Arkansas State Bank Department,4,70,funding_liquidity; rapid_growth; bsa_aml_scaling; thin_cre_cushion,"KR RAS (partial): Internal Audit of liquidity/funding risk controls; ALM advisory is another practice; KR RAS: BSA/AML scaling, Internal Audit, enterprise risk assessment; FDICIA Part 363 audit if crossing $1B, ICFR if crossing $5B; KR RAS: BSA/AML program enhancement + independent testing (AML & Sanctions / OFAC); KR RAS: CRE stress testing + capital planning — reverse stress test shows a modest CRE loss breaches well-capitalized",7.901,0.064,8.616,10.42,2.37,0.955,29.32,5.062,48.62,0.172,0.52,0.442,392.5,91.858,0.103,1.419,149.781,57.543,9.567,0.262,9.553
1028,FBT Bank & Mortgage,Fordyce,AR,71742,200 W 4th St,https://www.fbtbank.com,$250M-$1B,263.6,Federal Reserve,Arkansas State Bank Department,0,0,,,6.609,0.038,10.386,,1.407,0.575,21.28,4.411,71.334,0.749,0.694,0.443,0.0,70.234,0.055,0.029,83.757,53.43,119.394,0.195,0.0
10280,The Farmers and Merchants Bank,Caldwell,OH,43724,430 North St,https://www.thefarmersmerchants.bank,<$250M,136.4,FDIC,Ohio Division of Financial Institutions,1,18,credit_deterioration,KR RAS: Internal Audit loan review + CECL model validation + ALLL/CECL governance,14.442,0.769,14.916,,1.47,0.694,10.19,4.785,55.298,0.223,3.863,2.291,545.455,66.114,0.0,0.023,9.509,2.322,1051.671,0.214,0.087
